id,p,theta
211,0.780041,1.08148
211,0.260929,0.778892
2212,0.773022,0.185953
211,0.476997,0.445561
2212,2.12329,0.337332
211,0.403296,0.694215
2212,1.38262,0.436689
2212,1.13313,0.276831
2212,0.656291,0.542507
2212,2.07721,0.130479
211,0.612497,0.809353
2212,0.79881,0.432641
211,3.34096,0.183772
321,1.80652,0.343288
211,0.533303,0.590071
211,0.413367,0.625137
321,2.09094,0.34314
2212,1.02174,0.250047
211,0.749371,0.438213
321,2.327,0.239495
211,1.66445,0.171676
2212,1.06783,0.382293
2212,1.03731,0.207644
211,0.387121,0.793282
211,0.363317,1.07525
211,0.328832,0.434471
211,0.256046,0.623478
211,1.37301,0.252451
2212,0.936751,0.420329
211,1.67773,0.390936
2212,0.859236,0.282623
211,0.361639,0.793596
2212,1.13451,0.424166
2212,3.02373,0.176794
211,0.365911,0.86631
211,2.54826,0.376823
2212,1.59289,0.230974
2212,2.02121,0.47092
2212,1.09331,0.277635
2212,1.70367,0.204751
2212,1.346,0.250275
2212,1.82086,0.468156
211,0.418555,0.568431
2212,0.746624,0.670408
211,0.971389,0.399572
2212,0.71931,0.578134
211,0.806592,0.490803
211,0.5066,0.686261
2212,1.02342,0.73289
211,1.56939,0.418745
211,0.350805,0.845793
2212,1.47372,0.156362
211,0.342107,0.252042
2212,2.74235,0.485934
211,0.590219,0.61895
211,0.901961,0.479861
2212,1.02464,0.868192
211,1.30694,0.409638
211,0.223392,1.22762
211,1.89776,0.117279
211,0.817121,0.919185
2212,1.1809,0.487952
321,0.991989,0.36694
211,0.412299,0.752572
211,0.330663,1.13967
211,0.457313,1.24951
211,2.36347,0.434216
211,1.61746,0.153664
211,2.2826,0.128885
2212,1.52941,0.245645
211,0.335393,1.21127
211,0.283513,0.835063
2212,1.90997,0.348746
211,1.07637,0.458132
211,1.05318,0.471738
2212,1.20531,0.27213
211,1.5613,0.352332
211,0.377661,0.657525
211,1.15511,0.147511
2212,1.27871,0.283721
2212,2.62379,0.228845
211,0.808728,0.248188
2212,0.915694,0.542087
211,0.535439,0.721595
2212,0.960861,0.274241
211,0.717632,0.512479
2212,2.15518,0.280981
2212,0.802625,0.386195
2212,0.914321,0.444653
321,0.696117,0.660013
211,0.690776,1.04766
2212,3.20729,0.167673
2212,0.658579,0.588413
211,0.536965,0.338853
2212,1.2813,0.582482
2212,1.36095,0.147539
211,1.34661,0.241262
2212,0.99321,0.755494
211,0.596323,0.722834
2212,2.49073,0.210577
211,0.217136,1.08713
2212,0.911574,0.963322
211,0.62974,1.07605
211,0.67628,0.314146
2212,2.13901,0.307514
211,0.965896,0.392164
2212,2.07568,0.260995
211,1.27626,0.473812
211,0.292363,0.551673
211,0.566873,0.730446
2212,2.22171,0.298324
211,2.29145,0.196985
2212,1.08629,0.401766
211,1.06691,0.374344
211,0.341192,1.1937
211,0.433051,0.67506
2212,1.55779,0.234162
211,0.776074,0.778045
2212,0.66804,0.53669
2212,1.01106,0.49764
211,0.39826,0.755311
2212,1.74578,0.397926
211,0.834669,0.698415
2212,0.771954,0.50196
211,0.294347,0.512272
321,1.9411,0.179944
211,1.7882,0.466498
2212,1.35195,0.316465
211,1.76226,0.220176
211,0.890059,0.315134
211,1.56771,0.252396
211,0.230869,1.61288
211,1.70291,0.314713
2212,1.1397,0.636057
2212,1.50103,0.356987
211,1.16533,0.371165
211,0.302434,0.306288
2212,0.900893,0.55232
2212,2.29908,0.361787
211,0.767681,0.478887
321,1.79049,0.510015
2212,1.67453,0.123632
2212,2.19303,0.282124
-11,0.965438,0.175186
321,0.581827,0.797519
2212,2.02487,0.470071
211,0.298161,1.02049
211,0.865492,0.545057
211,0.211185,1.21088
2212,0.701305,0.282806
211,0.703288,0.599604
211,0.783246,0.439327
211,2.16114,0.26172
2212,1.34813,0.326594
211,0.419165,0.502838
2212,0.888991,0.698378
211,0.316167,1.13331
211,0.489509,0.538161
2212,1.41787,0.238921
211,0.473335,0.660875
211,1.50958,0.231185
211,0.439155,0.944922
2212,1.14473,0.478755
211,0.330968,1.66541
2212,1.34539,0.388831
211,0.983597,0.184275
211,0.265202,0.847465
2212,2.17456,0.316611
2212,0.962386,0.506252
211,0.446937,0.719732
2212,2.07126,0.34932
2212,1.33303,0.387241
211,0.660105,0.268493
211,0.502022,1.48526
211,0.437171,0.853464
2212,1.49416,0.225689
211,0.536507,0.730501
2212,0.792096,0.449066
211,0.278172,1.16036
2212,2.71519,0.289195
211,2.10391,0.238437
321,1.47356,0.420258
2212,1.04005,0.424092
2212,0.859846,0.198893
211,1.46761,0.173657
211,0.670176,0.652779
211,0.311589,0.862991
2212,1.83474,0.389228
211,0.836957,0.434917
2212,2.28824,0.314772
2212,1.08751,0.232543
211,0.658579,1.02561
211,0.252689,0.764574
2212,1.15373,0.30888
2212,2.74388,0.365712
211,0.387579,0.915944
211,0.557565,0.592548
211,0.420539,1.40232
2212,1.67391,0.241916
321,0.643473,0.893679
211,2.69795,0.158715
211,0.364996,0.302296
211,0.626841,0.549244
2212,0.83299,0.353244
2212,1.10277,0.427943
211,1.75525,0.36382
211,0.374151,1.52141
211,1.39376,0.596151
211,1.04753,0.394847
2212,2.49165,0.365599
211,0.508431,1.08003
211,2.93385,0.206184
2212,1.27459,0.409627
211,0.372778,0.657901
